epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.6203,1.07163,3.50118,1.14156,0.15833,0.39419,0.11127,0.07247,0.67671,3.36589,0.85733,2e-05,2e-05,2e-05
2,15.9886,0.90841,3.46624,1.1612,0.19167,0.47718,0.14378,0.10075,0.55046,3.32879,0.83505,5.9406e-05,5.9406e-05,5.9406e-05
3,20.9106,0.76524,3.44455,1.10131,0.25667,0.639,0.21661,0.14871,0.51053,3.28464,0.81835,9.802e-05,9.802e-05,9.802e-05
4,25.7177,0.73347,3.43784,1.04531,0.32,0.79668,0.30782,0.24539,0.53375,3.22946,0.81072,0.000135842,0.000135842,0.000135842
5,30.447,0.64978,3.26049,1.00633,0.365,0.90871,0.40138,0.32942,0.57725,3.1953,0.81311,0.000172872,0.000172872,0.000172872
6,35.8424,0.64123,3.22793,0.98032,0.37,0.92116,0.44675,0.37479,0.56853,3.17479,0.80888,0.00020911,0.00020911,0.00020911
7,40.8683,0.63298,3.1461,0.94434,0.37667,0.93776,0.46864,0.38554,0.55716,3.17093,0.80416,0.000244556,0.000244556,0.000244556
8,45.7915,0.61743,3.05725,0.92952,0.38333,0.95436,0.48904,0.41028,0.54436,3.1675,0.8044,0.00027921,0.00027921,0.00027921
9,51.7124,0.55076,2.8434,0.90299,0.38333,0.95436,0.49832,0.4152,0.55245,3.1731,0.80718,0.000313072,0.000313072,0.000313072
10,56.8969,0.58585,2.86673,0.90323,0.38333,0.95436,0.53945,0.44911,0.55243,3.16924,0.81064,0.000346142,0.000346142,0.000346142
11,64.938,0.60906,2.77238,0.89215,0.38333,0.95436,0.54691,0.46208,0.5401,3.15764,0.81803,0.00037842,0.00037842,0.00037842
12,70.3924,0.56838,2.68381,0.89219,0.38333,0.95436,0.55315,0.47124,0.53662,3.14974,0.82162,0.000409906,0.000409906,0.000409906
13,76.524,0.60755,2.69165,0.88156,0.385,0.95851,0.54413,0.4475,0.58634,3.15409,0.83355,0.0004406,0.0004406,0.0004406
14,83.6873,0.60714,2.46522,0.883,0.38333,0.95436,0.54506,0.43462,0.58595,3.14811,0.83396,0.000470502,0.000470502,0.000470502
15,88.6054,0.60623,2.32647,0.88637,0.38167,0.95021,0.54152,0.41192,0.57217,3.13763,0.83181,0.000499612,0.000499612,0.000499612
16,93.4952,0.62255,2.27258,0.87891,0.38167,0.95021,0.53805,0.40805,0.57662,3.11782,0.83506,0.00052793,0.00052793,0.00052793
17,98.1848,0.70796,2.35854,0.87154,0.38167,0.95021,0.55564,0.41175,0.59599,3.08362,0.84104,0.000555456,0.000555456,0.000555456
18,102.719,0.64862,2.26667,0.85984,0.375,0.93361,0.54228,0.39645,0.72834,3.04009,0.86568,0.00058219,0.00058219,0.00058219
19,107.128,0.64612,2.11411,0.86715,0.36833,0.91701,0.54562,0.39781,0.781,2.99008,0.88094,0.000608132,0.000608132,0.000608132
20,111.866,0.6314,1.93877,0.86094,0.37,0.92116,0.55754,0.40647,0.74875,2.9577,0.88039,0.000633282,0.000633282,0.000633282
21,116.499,0.57927,1.78244,0.86223,0.36833,0.91701,0.56556,0.39055,0.74467,2.96445,0.87925,0.00065764,0.00065764,0.00065764
22,121.282,0.76403,1.81954,0.87201,0.36667,0.91286,0.56681,0.38183,0.72892,2.92852,0.87478,0.000681206,0.000681206,0.000681206
23,127.299,0.62643,1.67806,0.85696,0.36667,0.91286,0.57966,0.39555,0.71278,2.86382,0.87197,0.00070398,0.00070398,0.00070398
24,132.873,0.62774,1.52936,0.86702,0.36833,0.91701,0.60413,0.43773,0.72506,2.78547,0.86858,0.000725962,0.000725962,0.000725962
25,138.471,0.59991,1.60467,0.85535,0.36833,0.91701,0.63427,0.45065,0.85394,2.73043,0.88658,0.000747152,0.000747152,0.000747152
26,144.037,0.63665,1.33478,0.87467,0.37333,0.92946,0.6744,0.50325,0.8513,2.64465,0.8899,0.00076755,0.00076755,0.00076755
27,149.8,0.62484,1.40627,0.84721,0.375,0.93361,0.71224,0.5583,0.77034,2.5575,0.87593,0.000787156,0.000787156,0.000787156
